Protein_group	Koala_ko	Koala_definition	X1	X2	X3
SymbC1.scaffold2522.4					
SymbC1.scaffold2539.3					
SymbC1.scaffold2539.6					
SymbC1.scaffold2544.2					
SymbC1.scaffold2548.2	K11153	RDH12; retinol dehydrogenase 12 [EC:1.1.1.300]			
SymbC1.scaffold2557.5	K03253	EIF3B; translation initiation factor 3 subunit B			
SymbC1.scaffold2560.1					
SymbC1.scaffold2561.2					
SymbC1.scaffold2564.3					
SymbC1.scaffold25734.1					
SymbC1.scaffold258.5					
SymbC1.scaffold258.6					
SymbC1.scaffold2588.7	K02135	ATPeF1E, ATP5E, ATP15; F-type H+-transporting ATPase subunit epsilon			
SymbC1.scaffold2589.2	K01835	pgm; phosphoglucomutase [EC:5.4.2.2]			
SymbC1.scaffold2592.2					
SymbC1.scaffold2593.4					
SymbC1.scaffold260.2					
SymbC1.scaffold2601.11	K12857	SNRNP40, PRP8BP; Prp8 binding protein			
SymbC1.scaffold2601.12					
SymbC1.scaffold2601.17	K02882	RP-L18Ae, RPL18A; large subunit ribosomal protein L18Ae			
SymbC1.scaffold2601.7					
SymbC1.scaffold2606.7	K05681	ABCG2, CD338; ATP-binding cassette, subfamily G (WHITE), member 2			
SymbC1.scaffold2607.1	K05863	SLC25A4S, ANT; solute carrier family 25 (mitochondrial adenine nucleotide translocator), member 4/5/6/31			
SymbC1.scaffold261.9					
SymbC1.scaffold2613.8					
SymbC1.scaffold2622.1					
SymbC1.scaffold2636.2	K00281	GLDC, gcvP; glycine cleavage system P protein (glycine dehydrogenase) [EC:1.4.4.2]			
SymbC1.scaffold2640.1	K03267	ERF3, GSPT; peptide chain release factor subunit 3			
SymbC1.scaffold2642.2					
SymbC1.scaffold2643.4					
SymbC1.scaffold2668.1					
SymbC1.scaffold2689.2					
SymbC1.scaffold2695.12					
SymbC1.scaffold2695.2					
SymbC1.scaffold2700.6					
SymbC1.scaffold2700.7	K08193	SLC17A; MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), other			
SymbC1.scaffold2709.5	K18059	SULTR4; sulfate transporter 4			
SymbC1.scaffold271.2					
SymbC1.scaffold2715.4					
SymbC1.scaffold2715.8	K01725	cynS; cyanate lyase [EC:4.2.1.104]			
SymbC1.scaffold272.13	K00800	aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]			
SymbC1.scaffold2720.1					
SymbC1.scaffold2721.1					
SymbC1.scaffold2722.2					
SymbC1.scaffold2724.3					
SymbC1.scaffold273.1					
SymbC1.scaffold2730.1					
SymbC1.scaffold2733.1					
SymbC1.scaffold2733.2					
SymbC1.scaffold2738.1					
SymbC1.scaffold2741.1					
SymbC1.scaffold2754.1					
SymbC1.scaffold276.1	K03189	ureG; urease accessory protein			
SymbC1.scaffold2764.2					
SymbC1.scaffold2776.1					
SymbC1.scaffold2776.6					
SymbC1.scaffold2776.7					
SymbC1.scaffold2781.4	K09499	CCT7; T-complex protein 1 subunit eta			
SymbC1.scaffold2788.1					
SymbC1.scaffold279.9					
SymbC1.scaffold2791.2	K11717	sufS; cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]			
SymbC1.scaffold2795.1					
SymbC1.scaffold2797.3					
SymbC1.scaffold2798.1	K12812	DDX39B, UAP56, SUB2; ATP-dependent RNA helicase UAP56/SUB2 [EC:5.6.2.7]			
SymbC1.scaffold282.10	K01697	CBS; cystathionine beta-synthase [EC:4.2.1.22]			
SymbC1.scaffold2820.1					
SymbC1.scaffold2821.3					
SymbC1.scaffold2826.1					
SymbC1.scaffold283.3					
SymbC1.scaffold2836.3					
SymbC1.scaffold284.5					
SymbC1.scaffold2848.2					
SymbC1.scaffold2849.4					
SymbC1.scaffold285.4					
SymbC1.scaffold2850.6					
SymbC1.scaffold2851.6					
SymbC1.scaffold2853.1					
SymbC1.scaffold2855.6					
SymbC1.scaffold2856.1	K05236	COPA, RET1; coatomer subunit alpha			
SymbC1.scaffold2858.5	K09554	CDC37; cell division cycle protein 37			
SymbC1.scaffold2858.6					
SymbC1.scaffold2860.4	K00831	serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]			
SymbC1.scaffold2862.3					
SymbC1.scaffold2866.4	K12619	XRN2, RAT1; 5'-3' exoribonuclease 2 [EC:3.1.13.-]			
SymbC1.scaffold2867.1					
SymbC1.scaffold2867.6	K02991	RP-S6e, RPS6; small subunit ribosomal protein S6e			
SymbC1.scaffold2876.2					
SymbC1.scaffold288.4					
SymbC1.scaffold2891.2					
SymbC1.scaffold2898.2					
SymbC1.scaffold291.11					
SymbC1.scaffold291.12	K12854	SNRNP200, BRR2; pre-mRNA-splicing helicase BRR2 [EC:5.6.2.6]			
SymbC1.scaffold2911.1	K12391	AP1G1; AP-1 complex subunit gamma-1			
SymbC1.scaffold2913.4					
SymbC1.scaffold2914.1					
SymbC1.scaffold2918.1					
SymbC1.scaffold2919.2					
SymbC1.scaffold2924.5	K00639	kbl, GCAT; glycine C-acetyltransferase [EC:2.3.1.29]			
SymbC1.scaffold2924.6	K17286	STOM; stomatin			
SymbC1.scaffold2945.3					
SymbC1.scaffold2948.1	K01006	ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]			
SymbC1.scaffold2961.2					
SymbC1.scaffold2962.5					
SymbC1.scaffold2966.4	K10704	UBE2V; ubiquitin-conjugating enzyme E2 variant			
SymbC1.scaffold2968.4					
SymbC1.scaffold2977.1					
SymbC1.scaffold2977.4	K11204	GCLC; glutamate--cysteine ligase catalytic subunit [EC:6.3.2.2]			
SymbC1.scaffold2978.3					
SymbC1.scaffold2988.2					
SymbC1.scaffold2991.5					
SymbC1.scaffold2998.4					
SymbC1.scaffold2999.1					
SymbC1.scaffold3000.1					
SymbC1.scaffold3006.11					
SymbC1.scaffold3006.9					
SymbC1.scaffold3018.3					
SymbC1.scaffold3021.4	K02998	RP-SAe, RPSA; small subunit ribosomal protein SAe			
SymbC1.scaffold3034.6	K13989	DERL2_3; Derlin-2/3			
SymbC1.scaffold3034.7					
SymbC1.scaffold304.12					
SymbC1.scaffold3049.2					
SymbC1.scaffold305.11					
SymbC1.scaffold3054.2	K06997	yggS, PROSC; PLP dependent protein			
SymbC1.scaffold3054.3					
SymbC1.scaffold3057.1					
SymbC1.scaffold306.1					
SymbC1.scaffold3067.6					
SymbC1.scaffold3070.7					
SymbC1.scaffold3080.6	K00645	fabD, MCAT, MCT1; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]			
SymbC1.scaffold3084.4					
SymbC1.scaffold3086.2					
SymbC1.scaffold3087.1					
SymbC1.scaffold3089.3					
SymbC1.scaffold3096.1	K17499	PPM1G, PP2CG; protein phosphatase 1G [EC:3.1.3.16]			
SymbC1.scaffold3099.3	K03696	clpC; ATP-dependent Clp protease ATP-binding subunit ClpC			
SymbC1.scaffold3103.4	K04371	ERK, MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24]			
SymbC1.scaffold3119.1					
SymbC1.scaffold3123.1	K11098	SNRPF, SMF; small nuclear ribonucleoprotein F			
SymbC1.scaffold313.11	K17080	PHB1; prohibitin 1			
SymbC1.scaffold314.5					
SymbC1.scaffold314.7	K13523	AGPAT3_4; lysophosphatidic acid acyltransferase / lysophosphatidylinositol acyltransferase [EC:2.3.1.51 2.3.1.-]			
SymbC1.scaffold3142.3	K01652	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]			
SymbC1.scaffold3145.2					
SymbC1.scaffold3151.1	K10839	RAD23, HR23; UV excision repair protein RAD23			
SymbC1.scaffold3153.6					
SymbC1.scaffold3154.1					
SymbC1.scaffold3156.2	K01624	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]			
SymbC1.scaffold316.13					
SymbC1.scaffold316.20					
SymbC1.scaffold3161.5					
SymbC1.scaffold3177.1					
SymbC1.scaffold3183.5	K08057	CALR; calreticulin			
SymbC1.scaffold3185.2					
SymbC1.scaffold3188.2					
SymbC1.scaffold3192.2					
SymbC1.scaffold3197.1					
SymbC1.scaffold3201.7	K15102	SLC25A3, PHC, PIC; solute carrier family 25 (mitochondrial phosphate transporter), member 3			
SymbC1.scaffold3205.1	K01696	trpB; tryptophan synthase beta chain [EC:4.2.1.20]			
SymbC1.scaffold3210.2					
SymbC1.scaffold3214.2					
SymbC1.scaffold3216.5					
SymbC1.scaffold322.4					
SymbC1.scaffold3223.5					
SymbC1.scaffold3227.3					
SymbC1.scaffold3233.6					
SymbC1.scaffold3239.3					
SymbC1.scaffold324.13	K01689	ENO1_2_3, eno; enolase 1/2/3 [EC:4.2.1.11]			
SymbC1.scaffold3256.4					
SymbC1.scaffold3269.4	K12823	DDX5, DBP2; ATP-dependent RNA helicase DDX5/DBP2 [EC:5.6.2.7]			
SymbC1.scaffold3278.4					
SymbC1.scaffold3279.5	K03521	fixA, etfB; electron transfer flavoprotein beta subunit			
SymbC1.scaffold328.20	K01647	CS, gltA; citrate synthase [EC:2.3.3.1]			
SymbC1.scaffold3282.5					
SymbC1.scaffold3298.2	K13886	CORO1B_1C_6; coronin-1B/1C/6			
SymbC1.scaffold3306.5	K03146	THI4, THI1; cysteine-dependent adenosine diphosphate thiazole synthase [EC:2.4.2.60]			
SymbC1.scaffold3317.3					
SymbC1.scaffold3330.4	K01205	NAGLU; alpha-N-acetylglucosaminidase [EC:3.2.1.50]			
SymbC1.scaffold3330.9					
SymbC1.scaffold3333.1					
SymbC1.scaffold3335.3					
SymbC1.scaffold335.2					
SymbC1.scaffold335.3					
SymbC1.scaffold3351.1	K03527	ispH, lytB; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]			
SymbC1.scaffold3351.4					
SymbC1.scaffold3353.3	K06630	YWHAE; 14-3-3 protein epsilon			
SymbC1.scaffold3365.1					
SymbC1.scaffold3371.1					
SymbC1.scaffold3373.7					
SymbC1.scaffold3373.8					
SymbC1.scaffold339.11					
SymbC1.scaffold339.13					
SymbC1.scaffold3397.1					
SymbC1.scaffold3402.1	K15104	SLC25A11, OGC; solute carrier family 25 (mitochondrial oxoglutarate transporter), member 11			
SymbC1.scaffold3403.1	K04794	PTH2, PTRH2; peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29]			
SymbC1.scaffold3412.1	K01714	dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]			
SymbC1.scaffold3414.3					
SymbC1.scaffold3422.8					
SymbC1.scaffold3427.3	K00234	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]			
SymbC1.scaffold3428.2	K01006	ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]			
SymbC1.scaffold3428.3					
SymbC1.scaffold3428.5					
SymbC1.scaffold3432.4					
SymbC1.scaffold344.1	K01278	DPP4, CD26; dipeptidyl-peptidase 4 [EC:3.4.14.5]			
SymbC1.scaffold344.6					
SymbC1.scaffold3441.2					
SymbC1.scaffold3443.2					
SymbC1.scaffold3462.3					
SymbC1.scaffold3491.9	K18703	SUGCT; succinate---hydroxymethylglutarate CoA-transferase [EC:2.8.3.13]			
SymbC1.scaffold3493.2	K03767	PPIA; peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]			
SymbC1.scaffold3501.1					
SymbC1.scaffold3501.4	K22069	LYRM4; LYR motif-containing protein 4			
SymbC1.scaffold3508.4	K14297	NUP98, ADAR2, NUP116; nuclear pore complex protein Nup98-Nup96			
SymbC1.scaffold351.7					
SymbC1.scaffold352.2	K00223	ERG4; Delta24(24(1))-sterol reductase [EC:1.3.1.71]			
SymbC1.scaffold3520.1	K23025	AVP; H+-translocating diphosphatase [EC:7.1.3.1]			
SymbC1.scaffold3521.3	K11390	CLYBL; citrate lyase subunit beta-like protein [EC:4.1.-.-]			
SymbC1.scaffold3526.2					
SymbC1.scaffold3527.3					
SymbC1.scaffold3527.5					
SymbC1.scaffold3532.3					
SymbC1.scaffold3544.4					
SymbC1.scaffold3546.4					
SymbC1.scaffold3556.1					
SymbC1.scaffold356.1					
SymbC1.scaffold356.19	K02900	RP-L27Ae, RPL27A; large subunit ribosomal protein L27Ae			
SymbC1.scaffold3578.1					
SymbC1.scaffold3580.4					
SymbC1.scaffold3580.5					
SymbC1.scaffold3581.1					
SymbC1.scaffold3581.2					
SymbC1.scaffold3586.3					
SymbC1.scaffold3589.1	K01689	ENO1_2_3, eno; enolase 1/2/3 [EC:4.2.1.11]			
SymbC1.scaffold3593.2	K01648	ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]			
SymbC1.scaffold360.4	K01755	argH, ASL; argininosuccinate lyase [EC:4.3.2.1]			
SymbC1.scaffold361.4					
SymbC1.scaffold3612.4	K13800	CMPK1, UMPK; UMP-CMP kinase [EC:2.7.4.14]			
SymbC1.scaffold3621.4					
SymbC1.scaffold364.7	K12835	DDX42, SF3B125; ATP-dependent RNA helicase DDX42 [EC:5.6.2.7]			
SymbC1.scaffold3640.2	K14007	SEC24; protein transport protein SEC24			
SymbC1.scaffold3646.3	K03773	fklB; FKBP-type peptidyl-prolyl cis-trans isomerase FklB [EC:5.2.1.8]			
SymbC1.scaffold3650.2					
SymbC1.scaffold3656.5	K03238	EIF2S2; translation initiation factor 2 subunit 2			
SymbC1.scaffold3660.3					
SymbC1.scaffold3663.1	K02293	PDS, crtP; 15-cis-phytoene desaturase [EC:1.3.5.5]			
SymbC1.scaffold3664.1	K15423	PPP4C; serine/threonine-protein phosphatase 4 catalytic subunit [EC:3.1.3.16]			
SymbC1.scaffold3678.4					
SymbC1.scaffold3678.5					
SymbC1.scaffold3680.1					
SymbC1.scaffold3685.2					
SymbC1.scaffold3695.1					
SymbC1.scaffold370.1					
SymbC1.scaffold3704.3					
SymbC1.scaffold371.1	K01915	glnA, GLUL; glutamine synthetase [EC:6.3.1.2]			
SymbC1.scaffold371.9					
SymbC1.scaffold3718.1					
SymbC1.scaffold3731.3	K01610	pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]			
SymbC1.scaffold3744.1					
SymbC1.scaffold3753.2	K14163	EPRS; bifunctional glutamyl/prolyl-tRNA synthetase [EC:6.1.1.17 6.1.1.15]			
SymbC1.scaffold3763.2					
SymbC1.scaffold3765.2	K03070	secA; preprotein translocase subunit SecA [EC:7.4.2.8]			
SymbC1.scaffold3771.1					
SymbC1.scaffold3772.1					
SymbC1.scaffold3773.2	K00878	thiM; hydroxyethylthiazole kinase [EC:2.7.1.50]			
SymbC1.scaffold3777.1					
SymbC1.scaffold3795.1	K10684	UBLE1A, SAE1; ubiquitin-like 1-activating enzyme E1 A [EC:6.2.1.45]			
SymbC1.scaffold38.8					
SymbC1.scaffold380.3	K23025	AVP; H+-translocating diphosphatase [EC:7.1.3.1]			
SymbC1.scaffold380.5	K00600	glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]			
SymbC1.scaffold3805.2					
SymbC1.scaffold3821.2					
SymbC1.scaffold3826.2					
SymbC1.scaffold3829.2					
SymbC1.scaffold3830.1	K01676	E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]			
SymbC1.scaffold3831.1	K03800	lplA, lplJ, lipL1; lipoate---protein ligase [EC:6.3.1.20]			
SymbC1.scaffold384.2					
SymbC1.scaffold3840.3					
SymbC1.scaffold3848.5					
SymbC1.scaffold3861.2	K02154	ATPeV0A, ATP6N; V-type H+-transporting ATPase subunit a			
SymbC1.scaffold3862.1					
SymbC1.scaffold3864.6					
SymbC1.scaffold387.1					
SymbC1.scaffold3870.3					
SymbC1.scaffold3878.1	K02132	ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha			
SymbC1.scaffold3881.3					
SymbC1.scaffold3886.10					
SymbC1.scaffold3888.3					
SymbC1.scaffold3893.1					
SymbC1.scaffold3901.3	K00605	gcvT, AMT; glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10]			
SymbC1.scaffold3903.3					
SymbC1.scaffold3922.2					
SymbC1.scaffold3928.2	K03235	EF3, TEF3; elongation factor 3			
SymbC1.scaffold3933.2					
SymbC1.scaffold3940.4					
SymbC1.scaffold3946.4					
SymbC1.scaffold3950.3	K02693	psaE; photosystem I subunit IV			
SymbC1.scaffold3950.6					
SymbC1.scaffold3953.2					
SymbC1.scaffold396.4					
SymbC1.scaffold396.8					
SymbC1.scaffold396.9					
SymbC1.scaffold3965.3					
SymbC1.scaffold3982.2					
SymbC1.scaffold3996.1	K00013	hisD; histidinol dehydrogenase [EC:1.1.1.23]			
SymbC1.scaffold3999.1					
SymbC1.scaffold4.1176					
SymbC1.scaffold4.1292					
SymbC1.scaffold4.233					
SymbC1.scaffold40.5					
SymbC1.scaffold4006.5	K00101	lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]			
SymbC1.scaffold4010.6					
SymbC1.scaffold4039.3					
SymbC1.scaffold404.6	K09500	CCT8; T-complex protein 1 subunit theta			
SymbC1.scaffold4041.2					
SymbC1.scaffold4044.2	K01254	LTA4H; leukotriene-A4 hydrolase [EC:3.3.2.6]			
SymbC1.scaffold4051.1	K01711	gmd, GMDS; GDPmannose 4,6-dehydratase [EC:4.2.1.47]			
SymbC1.scaffold406.3	K12823	DDX5, DBP2; ATP-dependent RNA helicase DDX5/DBP2 [EC:5.6.2.7]			
SymbC1.scaffold406.5	K20471	COPD, ARCN1, RET2; coatomer subunit delta			
SymbC1.scaffold4068.1					
SymbC1.scaffold4081.2					
SymbC1.scaffold4085.3	K01689	ENO1_2_3, eno; enolase 1/2/3 [EC:4.2.1.11]			
SymbC1.scaffold409.10	K08869	ADCK, ABC1; aarF domain-containing kinase			
SymbC1.scaffold409.14	K02925	RP-L3e, RPL3; large subunit ribosomal protein L3e			
SymbC1.scaffold409.5					
SymbC1.scaffold4102.1					
SymbC1.scaffold4104.2					
SymbC1.scaffold4113.3					
SymbC1.scaffold4115.3					
SymbC1.scaffold412.4					
SymbC1.scaffold412.6					
SymbC1.scaffold4124.4					
SymbC1.scaffold413.8					
SymbC1.scaffold4133.1					
SymbC1.scaffold4141.1					
SymbC1.scaffold415.15					
SymbC1.scaffold415.17					
SymbC1.scaffold415.2	K01872	AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]			
SymbC1.scaffold415.6					
SymbC1.scaffold415.8	K00873	PK, pyk; pyruvate kinase [EC:2.7.1.40]			
SymbC1.scaffold415.9					
SymbC1.scaffold4150.3	K00434	E1.11.1.11; L-ascorbate peroxidase [EC:1.11.1.11]			
SymbC1.scaffold4166.2					
SymbC1.scaffold4168.4					
SymbC1.scaffold4178.4	K03165	TOP3; DNA topoisomerase III [EC:5.6.2.1]			
SymbC1.scaffold4178.5	K02357	tsf, TSFM; elongation factor Ts			
SymbC1.scaffold418.12					
SymbC1.scaffold4182.1					
SymbC1.scaffold4186.1					
SymbC1.scaffold4199.1					
SymbC1.scaffold42.4					
SymbC1.scaffold4200.1	K01507	ppa; inorganic pyrophosphatase [EC:3.6.1.1]			
SymbC1.scaffold4201.6					
SymbC1.scaffold4202.2					
SymbC1.scaffold4205.3					
SymbC1.scaffold421.1					
SymbC1.scaffold4211.1	K12447	USP; UDP-sugar pyrophosphorylase [EC:2.7.7.64]			
SymbC1.scaffold4213.1					
SymbC1.scaffold4218.1	K01256	pepN; aminopeptidase N [EC:3.4.11.2]			
SymbC1.scaffold4223.1					
SymbC1.scaffold4224.1					
SymbC1.scaffold4230.1					
SymbC1.scaffold4242.2					
SymbC1.scaffold4251.1	K17506	PPM1L, PP2CE; protein phosphatase 1L [EC:3.1.3.16]			
SymbC1.scaffold4253.3					
SymbC1.scaffold426.1	K02146	ATPeV0D, ATP6D; V-type H+-transporting ATPase subunit d			
SymbC1.scaffold4281.2					
SymbC1.scaffold4285.5	K25895	DEGP1; protease Do-like 1, chloroplastic [EC:3.4.21.-]			
SymbC1.scaffold43.1					
SymbC1.scaffold43.6					
SymbC1.scaffold430.3					
SymbC1.scaffold4308.2	K02725	PSMA1; 20S proteasome subunit alpha 6 [EC:3.4.25.1]			
SymbC1.scaffold4311.1					
SymbC1.scaffold4316.1					
SymbC1.scaffold4319.2					
SymbC1.scaffold432.1	K01515	nudF; ADP-ribose diphosphatase [EC:3.6.1.13 3.6.1.-]			
SymbC1.scaffold4320.3					
SymbC1.scaffold433.10	K12877	MAGOH; protein mago nashi			
SymbC1.scaffold4336.4					
SymbC1.scaffold4336.9					
SymbC1.scaffold4340.1					
SymbC1.scaffold4342.3					
SymbC1.scaffold4349.1					
SymbC1.scaffold4363.6					
SymbC1.scaffold4365.1	K01253	EPHX1; microsomal epoxide hydrolase [EC:3.3.2.9]			
SymbC1.scaffold4372.2					
SymbC1.scaffold4375.3					
SymbC1.scaffold438.2					
SymbC1.scaffold4384.2					
SymbC1.scaffold4388.1					
SymbC1.scaffold439.6	K07152	SCO1; protein SCO1			
SymbC1.scaffold4397.2	K01535	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]			
SymbC1.scaffold44.11					
SymbC1.scaffold44.13					
SymbC1.scaffold44.19	K03246	EIF3I; translation initiation factor 3 subunit I			
SymbC1.scaffold4402.2					
SymbC1.scaffold4402.7					
SymbC1.scaffold4414.2	K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]			
SymbC1.scaffold4424.2	K01845	hemL; glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]			
SymbC1.scaffold443.8					
SymbC1.scaffold4450.1					
SymbC1.scaffold4454.1					
SymbC1.scaffold4458.4					
SymbC1.scaffold4458.5					
SymbC1.scaffold4474.3					
SymbC1.scaffold4479.7	K12826	SF3A2, SAP62; splicing factor 3A subunit 2			
SymbC1.scaffold448.7					
SymbC1.scaffold4484.2					
SymbC1.scaffold4484.3	K14309	NUP93, NIC96; nuclear pore complex protein Nup93			
SymbC1.scaffold4493.1					
SymbC1.scaffold4499.5					
SymbC1.scaffold45.7					
SymbC1.scaffold450.13					
SymbC1.scaffold4514.2					
SymbC1.scaffold4516.6	K10536	aguA; agmatine deiminase [EC:3.5.3.12]			
SymbC1.scaffold4517.4					
SymbC1.scaffold4523.2					
SymbC1.scaffold4533.5					
SymbC1.scaffold4549.1	K01915	glnA, GLUL; glutamine synthetase [EC:6.3.1.2]			
SymbC1.scaffold4568.1					
SymbC1.scaffold4598.2	K01061	E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45]			
SymbC1.scaffold460.6	K03061	PSMC2, RPT1; 26S proteasome regulatory subunit T1			
SymbC1.scaffold460.7					
SymbC1.scaffold4604.1					
SymbC1.scaffold461.1	K25895	DEGP1; protease Do-like 1, chloroplastic [EC:3.4.21.-]			
SymbC1.scaffold4615.1					
SymbC1.scaffold4616.3	K03462	NAMPT; nicotinamide phosphoribosyltransferase [EC:2.4.2.12]			
SymbC1.scaffold4617.2					
SymbC1.scaffold4617.7					
SymbC1.scaffold4617.9					
SymbC1.scaffold462.13					
SymbC1.scaffold4620.1					
SymbC1.scaffold4621.3					
SymbC1.scaffold4627.1					
SymbC1.scaffold463.5	K01720	prpD; 2-methylcitrate dehydratase [EC:4.2.1.79]			
SymbC1.scaffold4647.7					
SymbC1.scaffold4648.1					
SymbC1.scaffold465.10	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]			
SymbC1.scaffold465.8					
SymbC1.scaffold4650.4	K01689	ENO1_2_3, eno; enolase 1/2/3 [EC:4.2.1.11]			
SymbC1.scaffold4655.1					
SymbC1.scaffold466.6	K02835	prfA, MTRF1, MRF1; peptide chain release factor 1			
SymbC1.scaffold467.2					
SymbC1.scaffold4673.1					
SymbC1.scaffold469.10					
SymbC1.scaffold4690.1					
SymbC1.scaffold4690.2					
SymbC1.scaffold4712.2	K13025	EIF4A3, FAL1; ATP-dependent RNA helicase [EC:5.6.2.7]			
SymbC1.scaffold4714.1					
SymbC1.scaffold4715.5					
SymbC1.scaffold4716.3	K11729	ACAD10; acyl-CoA dehydrogenase family member 10			
SymbC1.scaffold472.9					
SymbC1.scaffold4722.5	K15013	ACSBG; long-chain-fatty-acid--CoA ligase ACSBG [EC:6.2.1.3]			
SymbC1.scaffold4722.6					
SymbC1.scaffold4722.9					
SymbC1.scaffold4726.3	K12392	AP1B1; AP-1 complex subunit beta-1			
SymbC1.scaffold4742.1	K16197	YWHAB_Q_Z; 14-3-3 protein beta/theta/zeta			
SymbC1.scaffold4759.2					
SymbC1.scaffold4759.4					
SymbC1.scaffold4763.1	K01610	pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]			
SymbC1.scaffold4768.5	K00387	SUOX; sulfite oxidase [EC:1.8.3.1]			
SymbC1.scaffold4769.4					
SymbC1.scaffold4779.6					
SymbC1.scaffold479.4					
SymbC1.scaffold4797.2					
SymbC1.scaffold48.5	K05349	bglX; beta-glucosidase [EC:3.2.1.21]			
SymbC1.scaffold4800.6					
SymbC1.scaffold4815.1					
SymbC1.scaffold4824.5					
SymbC1.scaffold4827.5					
SymbC1.scaffold4827.6					
SymbC1.scaffold4827.7	K15498	PPP6C; serine/threonine-protein phosphatase 6 catalytic subunit [EC:3.1.3.16]			
SymbC1.scaffold483.2	K04043	dnaK, HSPA9; molecular chaperone DnaK			
SymbC1.scaffold4831.2					
SymbC1.scaffold4833.1	K01663	HIS7; imidazole glycerol-phosphate synthase [EC:4.3.2.10]			
SymbC1.scaffold4838.1	K13126	PABPC; polyadenylate-binding protein			
SymbC1.scaffold4855.3					
SymbC1.scaffold4856.1					
SymbC1.scaffold4869.1					
SymbC1.scaffold4879.2					
SymbC1.scaffold489.2	K01188	E3.2.1.21; beta-glucosidase [EC:3.2.1.21]			
SymbC1.scaffold491.1	K10527	MFP2; enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35 1.1.1.211]			
SymbC1.scaffold4913.1	K00225	GLDH; L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3]			
SymbC1.scaffold4918.2					
SymbC1.scaffold492.3					
SymbC1.scaffold4948.2	K12832	SF3B5, SF3B10; splicing factor 3B subunit 5			
SymbC1.scaffold495.2					
SymbC1.scaffold4958.1	K00129	ALDH3; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]			
SymbC1.scaffold4966.3					
SymbC1.scaffold4967.3					
SymbC1.scaffold497.8	K13126	PABPC; polyadenylate-binding protein			
SymbC1.scaffold4971.1	K01756	purB, ADSL; adenylosuccinate lyase [EC:4.3.2.2]			
SymbC1.scaffold4973.3	K03283	HSPA1_6_8; heat shock 70kDa protein 1/6/8			
SymbC1.scaffold499.6					
SymbC1.scaffold4992.7	K12625	LSM6; U6 snRNA-associated Sm-like protein LSm6			
SymbC1.scaffold4993.1					
SymbC1.scaffold4995.2	K01770	ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]			
SymbC1.scaffold5.2					
SymbC1.scaffold5001.1	K01652	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]			
SymbC1.scaffold5018.4	K02889	RP-L21e, RPL21; large subunit ribosomal protein L21e			
SymbC1.scaffold5019.1					
SymbC1.scaffold5041.4	K09495	CCT3, TRIC5; T-complex protein 1 subunit gamma			
SymbC1.scaffold507.6					
SymbC1.scaffold5071.1					
SymbC1.scaffold508.5					
SymbC1.scaffold5085.3					
SymbC1.scaffold5085.5					
SymbC1.scaffold5097.2	K00357	QDPR; dihydropteridine reductase [EC:1.5.1.34]			
SymbC1.scaffold511.1					
